judge_id,court,last_name,first_name,start_decade
323,hd,Renfors,Cecilia,2010
322,hd,Reimer,Stefan,2010
321,hd,Runesson,Eric,2010
320,hd,Bonthron,Malin,2010
319,hd,Asp,Petter,2010
318,hd,Heidenborg,Mari,2010
317,hd,Johansson,Stefan,2010
316,hd,Andersson,Sten,2010
315,hd,Eka,Anders,2010
314,hd,Edlund,Lars,2010
313,hd,Mattsson,Dag,2010
312,hd,Johansson,Svante,2010
311,hd,Borgeke,Martin,2010
310,hd,Persson,Ingemar,2010
309,hd,Bäcklund,Agneta,2010
308,hd,Herre,Johnny,2010
307,hd,Lambertz,Göran,2000
306,hd,Moore,Lena,2000
305,hd,Lindskog,Stefan,2000
304,hd,Toijer,Gudmund,2000
303,hd,Skarhed,Anna,2000
302,hd,Widebeck,Magnus,2000
301,hd,Virdesten,Per,2000
300,hd,Wersäll,Fredrik,2000
299,hd,Calissendorff,Kerstin,2000
298,hd,Nyström,Ella,2000
297,hd,Lindeblad,Ann-Christine,2000
325,hd,Dahllöf,Lars,2000
296,hd,Lundius,Marianne,1990
295,hd,Håstad,Torgny,1990
294,hd,Pripp,Nina,1990
293,hd,Blomstrand,Severin,1990
292,hd,Victor,Dag,1990
291,hd,Sköllerholm,Ove,1990
290,hd,Regner,Göran,1990
289,hd,Thorsson,Leif,1990
288,hd,Lennander,Gertrud,1990
326,hd,Westlander,Ingegerd,1990
287,hd,Nilsson,Edvard,1980
286,hd,Lambe,Bengt,1980
285,hd,Danelius,Hans,1980
284,hd,Munck,Johan,1980
283,hd,Törnell,Inga-Britt,1980
282,hd,Svensson,Bo,1980
281,hd,Beckman,Lars,1980
280,hd,Nyström,Inger,1980
279,hd,Solerud,Hans-Gunnar,1980
278,hd,Beckman,Lars,1980
277,hd,Bergqvist,Olof,1980
276,hd,Lind,Johan,1980
275,hd,Freyschuss,Bertil,1980
274,hd,Magnusson,Staffan,1980
273,hd,Gad,Ulf,1980
272,hd,Broomé,Bo,1980
271,hd,Gregow,Torkel,1980
270,hd,Heuman,Jan,1980
268,hd,Sterzel,Fredrik,1970
267,hd,Jermsten,Per,1970
266,hd,Sverne,Tor,1970
265,hd,Rydin,Bengt,1970
264,hd,Ljungar,Jan,1970
263,hd,Bengtsson,Bertil,1970
262,hd,Palm,Böret,1970
261,hd,Vängby,Staffan,1970
260,hd,Persson,Lennart,1970
259,hd,Knutsson,Anders,1970
258,hd,Nyman,Sven,1970
257,hd,Nordenson,Ulf,1970
256,hd,Stark,Hans,1970
255,hd,Hessler,Henrik,1970
254,hd,Nyman,Erik,1970
253,hd,Welamson,Lars,1970
252,hd,Mannerfelt,Nils,1960
251,hd,Ulveson,Ingemar,1960
250,hd,Brundin,Leif,1960
249,hd,Höglund,Olle,1960
248,hd,Gärde Widemar,Ingrid,1960
247,hd,Fredlund,Lennart,1960
246,hd,Lundvik,Ulf,1960
245,hd,Walberg,Manne,1960
244,hd,Lännergren,Bengt,1960
243,hd,Holmberg,Carl,1960
242,hd,Hesser,Torwald,1960
241,hd,Gyllensvärd,Johan,1960
240,hd,Westerlind,Peter,1960
239,hd,Hult,Bengt,1960
238,hd,Bernhard,Björn,1960
237,hd,Bergsten,Per,1960
236,hd,Joachimsson,Nils,1960
235,hd,Conradi,Erland,1960
234,hd,Alexanderson,Bertil,1960
233,hd,Brunnberg,Arne,1960
232,hd,Riben,Olof,1950
231,hd,Hedfeldt ,Erik,1950
230,hd,Petrén,Otto,1950
229,hd,Söderlund,Yngve,1950
228,hd,Dennemark,Sigurd,1950
227,hd,Nordström,Torkel,1950
226,hd,Bomgren,Gunnar,1950
225,hd,Digman,Hugo,1950
224,hd,Edling,Sven,1950
223,hd,Tammelin,Erik,1950
222,hd,af Trolle,Herved,1950
221,hd,Hagbergh,Erik,1950
220,hd,Romanus,Sven,1950
219,hd,Söderlund,Erik,1950
218,hd,Lindell,Ingvar,1940
217,hd,Lind,Gösta,1940
216,hd,Regner,Nils,1940
215,hd,Sjöwall,Jochum,1940
214,hd,Beckman,Nils,1960
213,hd,Walin,Gösta,1940
212,hd,Karlgren,Hjalmar,1940
211,hd,Lech,Halvar,1940
210,hd,Ljunggren,Nils,1940
209,hd,Hagander,Johan,1940
208,hd,Hellquist,Carl Gustaf,1940
207,hd,Strandberg,Tore,1940
206,hd,Nissen,Knut,1930
205,hd,Dahlman,Gunnar,1930
204,hd,Santesson,Per,1930
203,hd,Petré,Ragnar,1930
202,hd,Ekberg,Seve,1930
201,hd,Ericsson,Hugo,1930
200,hd,Sterzel,Fritz,1930
199,hd,Gyllenswärd,Ragnar,1930
198,hd,Lind,Erik,1930
197,hd,Guldberg,Harry,1930
196,hd,Bellinder,Sven,1930
195,hd,Alsén,John,1930
194,hd,Afzelius,Axel,1930
193,hd,Sandström,Emil,1930
192,hd,Forssman,Hilding,1930
191,hd,Vult von Steyern,Nils,1930
190,hd,Bagge,Algot,1930
189,hd,Grefberg,Gustaf,1930
188,hd,Lawski,Sven,1930
187,hd,Forsberg,Hans,1920
186,hd,Geijer,Erik,1920
185,hd,Lindhagen,Arthur,1920
184,hd,Gärde,Natanael,1920
183,hd,Eklund,Rudolf,1920
182,hd,Stenbeck,Einar,1920
181,hd,Ekeberg,Birger,1920
180,hd,Tiselius,Karl,1920
179,hd,Alexanderson,Nils,1920
178,hd,Högstedt,Karl-Henrik,1920
177,hd,Kôersner,Albert,1910
176,hd,Appelberg,Gustaf,1910
175,hd,Stenberg,Steno,1910
174,hd,Edelstam,Axel,1910
173,hd,Molin,Erik,1910
172,hd,Almén,Tore,1910
171,hd,Wedberg,Birger,1910
170,hd,Leijonhufvud,Bo,1910
169,hd,Dyberg,Vilhelm,1910
168,hd,Christiansson,Carl,1910
167,hd,Svedelius,Arvid,1900
166,hd,von Seth,Pehr,1900
165,hd,Sjögren,Wilhelm,1900
163,hd,Carlson,Gustaf,1900
162,hd,Améen,Louis,1900
161,hd,Berglöf,Anshelm,1900
160,hd,Gullstrand,Edvin,1900
159,hd,Bergman,Otto,1900
158,hd,Skarstedt,Sigfrid Adalvard,1900
157,hd,Thomasson,Åke,1900
156,hd,Borgström,Axel,1900
155,hd,Hellner,Johannes,1900
